Unnamed: 0,TSPAN6 (ENSG00000000003),TNMD (ENSG00000000005),DPM1 (ENSG00000000419),SCYL3 (ENSG00000000457),C1orf112 (ENSG00000000460),FGR (ENSG00000000938),CFH (ENSG00000000971),FUCA2 (ENSG00000001036),GCLC (ENSG00000001084),NFYA (ENSG00000001167),STPG1 (ENSG00000001460),NIPAL3 (ENSG00000001461),LAS1L (ENSG00000001497),ENPP4 (ENSG00000001561),SEMA3F (ENSG00000001617),CFTR (ENSG00000001626),ANKIB1 (ENSG00000001629),CYP51A1 (ENSG00000001630),KRIT1 (ENSG00000001631),RAD52 (ENSG00000002016),MYH16 (ENSG00000002079),BAD (ENSG00000002330),LAP3 (ENSG00000002549),CD99 (ENSG00000002586)
ACH-001794,3.871843648509318,0.0565835283663675,6.76394266044725,1.9373443921502325,3.1521834190550453,0.6229303509201767,6.944624223055033,7.088735246190284,4.24260250592898,3.339137384919585,3.929790997718597,6.301038849903148,4.905928478173135,1.6644828403646823,1.74416109557041,0.01435529297707,3.689299160535892,4.2964574073712445,3.687060688339893,2.568032104771279,0.0426443374084937,6.687340687378304,7.188737187185129,9.283505122847249
ACH-002023,5.264911693074464,0.0,6.756889855074617,2.2839217723076177,3.8135246892978105,0.0,4.059182199211692,6.235535606710462,4.400537929583729,3.4982508675278257,2.799087306074004,3.6507645591169022,5.028569152196771,3.689299160535892,2.3305584000308026,0.137503523749935,4.8594726668519375,7.426600226169925,5.043081981895663,2.5310694927259543,4.615887073916057,4.8494989317201815,5.773996325111173,7.031439309319335
ACH-000528,4.512226886513957,0.0,7.099821178692243,2.8439838440483265,4.672425341971495,0.01435529297707,0.8155754288625725,6.709014864903272,3.982765462583646,4.236492618381302,1.875780063068488,4.132576842670009,5.137913322088407,4.2539892662307865,3.64961545906341,0.0426443374084937,4.113533819591914,6.369989862956622,4.332707933640605,2.837943241891028,0.0285691521967709,6.463197379833495,5.800123352826528,7.356848079236522
ACH-001655,3.5921580021253603,0.0,6.74711881638081,0.925999418556223,1.839959587489532,0.0285691521967709,0.0565835283663675,5.350497247084133,1.8155754288625725,2.189033824390017,1.879705766282288,2.324810603420484,5.146899560343589,0.2265085298086797,2.448900951145128,0.0285691521967709,3.4802651220544627,4.503348735167505,3.368768349090334,2.3132458517875616,0.0,4.8894735425311096,3.323370069061269,7.097821455171133
ACH-000167,0.0426443374084937,0.0,6.710117632043446,2.353323291162897,3.985500430304885,5.859721128927965,0.2750070474998698,3.725741156503952,4.152183419055046,3.7644735509926655,0.01435529297707,1.7484612330040354,5.837186385159029,2.720278465233327,0.0565835283663675,0.3103401206121505,4.033863451866284,5.344118334521428,4.3957483281790335,3.90977310414164,0.0976107966264223,5.360364276543471,6.7546203116745325,6.773732650607856
ACH-000792,3.279471295644468,0.0,6.390254956321868,1.7484612330040354,3.4356285940520905,0.0840642647884745,0.4222330006830478,6.6169163625788086,4.3826672527450405,7.433710615333115,2.4776773275653072,2.8659188145522125,5.659068274843228,0.0426443374084937,5.090430042321621,0.2868811477881615,4.719731056749852,6.588264894307497,5.112700132749362,3.37851162325373,0.4750848829487828,5.140778655782796,5.172327491657617,7.648753032989572
ACH-001098,5.909293085823824,0.0,6.783980413683795,3.292781749227846,3.0874628412503395,0.0,4.898208352508718,5.773732650607856,6.97315203787724,4.023255352300303,2.4356285940520905,3.588564737401352,4.46401472450489,1.4905701304462011,1.883620816285672,0.0,4.7527485914071335,6.333423733725192,4.787118982813345,2.875780063068488,0.2630344058337938,4.529196267999391,6.398487190018967,5.403267722339301
ACH-000570,5.264911693074464,0.0,6.830483516457647,2.835924074254375,4.177917792195843,0.1763227726404629,5.840463233869542,6.620733018352099,4.596935142387232,4.865918814552212,2.4646682670034443,3.9049657186840254,5.632849830117706,0.6135316529179271,5.3729520979118295,0.0565835283663675,5.184677020680892,5.355791546753647,5.476705706668179,3.5096958419333872,0.0426443374084937,6.2650992875147375,5.549977142771825,8.0275743044105
ACH-000351,3.972692654004264,0.0,8.1613334682071,2.350497247084133,4.097610796626422,1.6088092426755238,0.3448284969974411,6.047232996461807,4.5668151540108965,3.984589350362457,2.18269229751619,3.626439136697315,5.532005193790571,3.7676547982373454,2.57773093149008,0.0840642647884745,5.227278994468321,4.725195817226664,4.829342193902803,2.6803243568440163,0.2265085298086797,6.301587646603187,6.030998118171895,7.5291962679993905
ACH-000769,4.713145902490259,0.0,6.19377174339668,2.440952198029637,4.176322772640463,0.0,0.1110313123887439,5.759954742011304,5.756756451307274,3.802193216941825,1.811471030529836,3.5360529002402097,5.106432077816929,2.475084882948783,1.5008020530571575,0.4436066514756146,4.4276061727819,7.419117482122475,4.829849559844691,3.604071323668861,0.0,5.818390444469626,6.119771161952904,4.55581615506164
